successTracksId,successTrackName,useCaseName,useCaseId,currentPitstopName,pitStopName,pitstopActionName,pitstopActionId
40317380,WAN,Secure Direct Internet Access,41269754,Adopt,Adopt,Deploy advanced features of Secure DIA,WAN_SDIA_ADO_01
40317380,WAN,Secure Direct Internet Access,41269754,Adopt,Adopt,Deploy basic features of other SD-WAN use cases,WAN_SDIA_ADO_02
40317380,WAN,Secure Direct Internet Access,41269754,Adopt,Engage,Operationalize the network at scale,WAN_SDIA_ENG_01
40317380,WAN,Secure Direct Internet Access,41269754,Adopt,Engage,Learn how to integrate new and advanced features into the design,WAN_SDIA_ENG_02
40317380,WAN,Secure Direct Internet Access,41269754,Adopt,Implement,Develop the Secure DIA Device Templates and Policies,WAN_SDIA_IMP_01
40317380,WAN,Secure Direct Internet Access,41269754,Adopt,Implement,Configure your Cisco SD-WAN Secure DIA Security Policies,WAN_SDIA_IMP_02
40317380,WAN,Secure Direct Internet Access,41269754,Adopt,Implement,Deploy your Cisco SD-WAN Secure DIA Policy,WAN_SDIA_IMP_03
40317380,WAN,Secure Direct Internet Access,41269754,Adopt,Onboard,Learn about Cisco SD-WAN Secure DIA deployment,WAN_SDIA_ONB_01
40317380,WAN,Secure Direct Internet Access,41269754,Adopt,Onboard,Plan your SD-WAN Secure DIA deployment,WAN_SDIA_ONB_02
40317380,WAN,Secure Direct Internet Access,41269754,Adopt,Onboard,Complete your Cisco SD-WAN Secure DIA Installation - Licencisng Verification,WAN_SDIA_ONB_03
40317380,WAN,Secure Direct Internet Access,41269754,Adopt,Onboard,Complete your Cisco SD-WAN Secure DIA Installation - Version Check for Intended Features,WAN_SDIA_ONB_05
40317380,WAN,Secure Direct Internet Access,41269754,Adopt,Optimize,Optimize performance and availability of the Secure DIA deployment,WAN_SDIA_OPT_01
40317380,WAN,Secure Direct Internet Access,41269754,Adopt,Use,Scale the deployment - Deploy Secure DIA policy across additional sites,WAN_SDIA_USE_01
40317380,WAN,Secure Direct Internet Access,41269754,Adopt,Use,Monitor and Troubleshoot Secure DIA deployment,WAN_SDIA_USE_02
40485321,Cloud Network,Distributed Networking,40485330,Adopt,Adopt,Planning your Multi-site and Multi-pod Environment,DCN_ACI_DN_ADP_1
40485321,Cloud Network,Distributed Networking,40485330,Adopt,Adopt,Scale the Network Infrastructure,DCN_ACI_DN_ADP_2
40485321,Cloud Network,Distributed Networking,40485330,Adopt,Adopt,Learn about Multi-site and NDO Advanced Features,DCN_ACI_DN_ADP_3
40485321,Cloud Network,Distributed Networking,40485330,Adopt,Adopt,Use new automation features and functionality,DCN_ACI_DN_ADP_4
40485321,Cloud Network,Distributed Networking,40485330,Adopt,Engage,Learn ACI Fabric Performance Tuning Best Practices,DCN_ACI_DN_ENG_1
40485321,Cloud Network,Distributed Networking,40485330,Adopt,Engage,Scale and Operate your Network Infrastructure,DCN_ACI_DN_ENG_2
40485321,Cloud Network,Distributed Networking,40485330,Adopt,Engage,Explore Day2 Features,DCN_ACI_DN_ENG_3
40485321,Cloud Network,Distributed Networking,40485330,Adopt,Engage,Learn how to use automation to scale ACI Fabric,DCN_ACI_DN_ENG_4
40485321,Cloud Network,Distributed Networking,40485330,Adopt,Implement,Set Up Your Fabric and Build the Logical Configuration,DCN_ACI_DN_IMP_1
40485321,Cloud Network,Distributed Networking,40485330,Adopt,Implement,Learn about Cisco ACI Deployment Best Practices,DCN_ACI_DN_IMP_2
40485321,Cloud Network,Distributed Networking,40485330,Adopt,Implement,Activate Licenses and Move the ACI Fabric into Production,DCN_ACI_DN_IMP_3
40485321,Cloud Network,Distributed Networking,40485330,Adopt,Implement,Review ACI Distributed Networking deployment options,DCN_ACI_DN_IMP_4
40485321,Cloud Network,Distributed Networking,40485330,Adopt,Implement,Install Preferred Automation Platform,DCN_ACI_DN_IMP_5
40485321,Cloud Network,Distributed Networking,40485330,Adopt,Onboard,Learn about Cisco ACI Distributed Networking deployment options,DCN_ACI_DN_ONB_1
